key	value
project_root	/Users/idencosmos/Projects/skills-hub/idencosmos-agent-skills/skills/project-agent-factory
generated_at	2026-02-18T13:31:24Z
top_level_dirs	.agents,references,scripts,tests
language_python	no
language_js_ts	no
language_go	no
language_rust	no
frontend_signal	no
backend_signal	no
ops_signal	no
test_signal	yes
file_count_py	0
file_count_ts	0
file_count_js	0
file_count_go	0
file_count_rs	0
file_count_code_total	0
